date,open,high,low,close,volume
2024-01-01,100,105,98,102,100000
2024-01-02,102,106,101,104,110000
2024-01-03,104,108,103,107,115000
2024-01-04,107,110,105,109,120000
2024-01-05,109,112,108,111,125000
2024-01-06,111,115,110,114,130000
2024-01-07,114,118,113,116,135000
2024-01-08,116,120,115,119,140000
2024-01-09,119,123,118,121,145000
2024-01-10,121,125,120,124,150000
2024-01-11,124,128,123,126,155000
2024-01-12,126,130,125,129,160000
2024-01-13,129,133,128,131,165000
2024-01-14,131,135,130,134,170000
2024-01-15,134,138,133,136,175000
2024-01-16,136,140,135,139,180000
2024-01-17,139,143,138,141,185000
2024-01-18,141,145,140,144,190000
2024-01-19,144,148,143,146,195000
2024-01-20,146,150,145,149,200000
